Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Mojstrski izpit;urarski mojster;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Mojstrski izpit;vrtnarski mojster;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0812";Hortikultura;Horticulture;
Mojstrski izpit;zidarski mojster;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Mojstrski izpit;zlatarski mojster;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0214";Domača in umetnostna obrt (unikatni, umetniški izdelki);Handicrafts;
Mojstrski izpit;železokrivski mojster;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Molekularna genetika in biotehnologija;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0512";Biokemija;Biochemistry;
Molekulska biologija;magister molekulske biologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0511";Biologija;Biology;
Molekulska in funkcionalna biologija;magister molekulske in funkcionalne biologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0511";Biologija;Biology;
Montaža drobnih elementov (USO I);monter elementov;;12099;Osnovnošolsko izobraževanje višje stopnje/osnovnošolska izobrazba, drugje nerazporejeno;Second stage of basic education/Basic education, not elsewhere classified;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Montaža električnih instalacij in omrežij;monter električnih instalacij in omrežij;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Montaža električnih naprav, A - monter električnih naprav;elektronavijalec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0714";Elektronika in avtomatizacija;Electronics and automation;
Montaža električnih naprav, B - sestavljalec elektronskih sklopov;sestavljalec elektronskih sklopov;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0714";Elektronika in avtomatizacija;Electronics and automation;
Montaža električnih omrežij;monter električnih omrežij;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter električnih naprav;monter električnih naprav;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0714";Elektronika in avtomatizacija;Electronics and automation;
Monter električnih naprav;sestavljalec elektronskih sklopov;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0714";Elektronika in avtomatizacija;Electronics and automation;
Monter električnih omrežij;monter električnih omrežij;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter električnih omrežij in instalacij;monter električnih omrežij in instalacij;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter hladilnih naprav;monter hladilnih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter in upravljalec energetskih naprav;monter in upravljalec energetskih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter in upravljalec energetskih naprav, monter hladilnih naprav;monter hladilnih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter in upravljalec energetskih naprav, monter klimatskih naprav;monter klimatskih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter in upravljalec energetskih naprav, monter ogrevlanih naprav;monter ogrevalnih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter in upravljalec energetskih naprav, monter plinskih naprav;monter plinskih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter in upravljalec energetskih naprav, monter vodovodnih naprav;monter vodovodnih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter klimatizacijskih naprav;monter klimatizacijskih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter klimatskih naprav;monter klimatskih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter konstrukcij (konstrukcijski ključavničar);monter konstrukcij (konstrukcijski ključavničar);;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Monter kopist;monter kopist;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Monter ogrevalnih naprav;monter ogrevalnih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter plinskih naprav;monter plinskih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Monter TT linij;monter TT linij;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0714";Elektronika in avtomatizacija;Electronics and automation;
Monter vodovodnih naprav (vodovodni inštalater);monter vodovodnih naprav (vodovodni inštalater);;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Morska biologija;magister morske biologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0511";Biologija;Biology;
Moški frizer;moški frizer;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1012";Frizerske in druge lepotilne storitve;Hair and beauty services;
Moški in ženski frizer;moški in ženski frizer;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1012";Frizerske in druge lepotilne storitve;Hair and beauty services;
Multimedija;diplomirani inženir multimedije (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0688";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno informacijske in komunikacijske tehnologije (IKT);Inter-disciplinary programmes and qualifications involving Information and Communication Technologies (ICTs);
Multimedija;magister inženir multimedije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0688";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno informacijske in komunikacijske tehnologije (IKT);Inter-disciplinary programmes and qualifications involving Information and Communication Technologies (ICTs);
Multimediji;inženir multimedije;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Multimedijska produkcija;diplomirani multimedijski producent (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0321";Novinarstvo in medijske študije;Journalism and reporting;
Muzejska pedagogika;magister muzejske pedagogike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0111";Izobraževalne znanosti;Education science;
Muzikologija;diplomirani muzikolog (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0229";Humanistika (razen jezikov), drugo;Humanities (except languages) not elsewhere classified;
Muzikologija;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0229";Humanistika (razen jezikov), drugo;Humanities (except languages) not elsewhere classified;
Muzikologija;magister muzikologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0229";Humanistika (razen jezikov), drugo;Humanities (except languages) not elsewhere classified;
Muzikologija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0229";Humanistika (razen jezikov), drugo;Humanities (except languages) not elsewhere classified;
Muzikologija;muzikolog;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0229";Humanistika (razen jezikov), drugo;Humanities (except languages) not elsewhere classified;
Muzikologija;predmetni učitelj muzikologije;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Muzikologija;univerzitetni diplomirani muzikolog;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0229";Humanistika (razen jezikov), drugo;Humanities (except languages) not elsewhere classified;
Muzikologija - dvopredmetni;univerzitetni diplomirani muzikolog in …;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0229";Humanistika (razen jezikov), drugo;Humanities (except languages) not elsewhere classified;
Načrtovanje tekstilij in oblačil;diplomirani tekstilni inženir (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Načrtovanje tekstilij in oblačil;magister tekstilni inženir;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Nadzorni varnostnik;nadzorni varnostnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1032";Varnost, varovanje, zaščita in reševanje;Protection of persons and property;
Nanoznanosti in nanotehnologija;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Nanoznanosti in nanotehnologija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Nanoznanosti in nanotehnologije;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Nanoznanosti in nanotehnologije;magister nanoznanosti in nanotehnologij;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Naravoslovno - tehnična informatika;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0612";Načrtovanje in administracija podatkovnih baz in računalniških omrežij;Database and network design and administration;
Naravoslovno - tehnična informatika;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0612";Načrtovanje in administracija podatkovnih baz in računalniških omrežij;Database and network design and administration;
Naravoslovno matematična dejavnost;naravoslovno-matematični tehnik;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Naravoslovno- matematična tehnologija, A - matematični tehnik;matematični tehnik;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Naravoslovno- matematična tehnologija, B - fizikalni tehnik;fizikalni tehnik;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Naravoslovno- matematična tehnologija, C - biološko-kemijski tehnik;biološko-kemijski tehnik;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Naravoslovno-matematična dejavnost, A - naravoslovno matematični tehnik;naravoslovno-matematični tehnik;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Naravoslovno-matematična dejavnost, B - splošno-izobraževalna smer;nedoločeno;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Naravoslovno-matematična tehnologija;naravoslovno-matematični tehnik;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Naravovarstveni tehnik;naravovarstveni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0522";Naravno okolje in divje živali;Natural environments and wildlife;
Naravovarstvo;inženir naravovarstva;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0522";Naravno okolje in divje živali;Natural environments and wildlife;
Natakar;natakar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Natakarski pomočnik;natakarski pomočnik;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Natakarski pomočnik (USO II);natakarski pomočnik;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Navlačevalec zgornjih delov obutve;navlačevalec zgornjih delov obutve;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Navtični program, navtični oddelek;inženir za pomorski promet;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="1041";Transport;Transport services;
Navtični tehnik;navtični tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1041";Transport;Transport services;
Navtika;diplomirani inženir navtike (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="1041";Transport;Transport services;
Navtika, A - ribič-navtik;ribič-navtik;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1041";Transport;Transport services;
Navtika, B - ladjevodja;ladjevodja;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1041";Transport;Transport services;
Navtika, C - plovbni tehnik;plovbni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1041";Transport;Transport services;
Nemcistika;diplomirani nemcist (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Nemcistika;magister nemcistike in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Nemščina;magister profesor nemščine;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Nemščina;magister profesor nemščine in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Nemščina;predmetni učitelj za nemščino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Nemščina in ruščina;predmetni učitelj za nemščino in ruščino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Nemščina kot tuji jezik;magister profesor nemščine kot tujega jezika in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Nemški jezik;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Nemški jezik;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Nemški jezik in književnost;diplomant nemškega jezika in književnosti (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Nemški jezik s književnostjo;nemcist;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Nemški jezik s književnostjo;predmetni učitelj nemščine;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Nemški jezik s književnostjo;profesor nemščine;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Nemški jezik s književnostjo in ...;profesor nemščine in …;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Nemški jezik s književnostjo in knjižničarstvom;predmetni učitelj nemškega jezika s književnostjo in knjižničarstvom;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Nemški jezik s književnostjo in slovenski jezik s književnostjo;predmetni učitelj nemškega jezika s književnostjo in slovenskega jezika s književnostjo;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Novinarske študije;magister novinarskih študij;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0321";Novinarstvo in medijske študije;Journalism and reporting;
Novinarstvo;diplomirani novinar (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0321";Novinarstvo in medijske študije;Journalism and reporting;
Novinarstvo;univerzitetni diplomirani novinar;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0321";Novinarstvo in medijske študije;Journalism and reporting;
Novinarstvo - dvopredmetni;univerzitetni diplomirani ... in novinar;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0321";Novinarstvo in medijske študije;Journalism and reporting;
Obdelava kovin in upravljanje strojev, A - vzdrževalec in upravljalec strojev;vzdrževalec in upravljalec strojev;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelava kovin in upravljanje strojev, B - obdelovalec kovin;obdelovalec kovin;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelava kovin in upravljanje strojev, C - spajalec in rezalec kovin;spajalec in rezalec kovin;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelava kovin v serijski proizvodnji (USO II);pomožni ključavničar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelava pločevine (USO II);oblikovalec pločevine, pomožni klepar, pomožni industrijski klepar, stiskalničar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelovalec kovin;obdelovalec kovin;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelovalec lesa;obdelovalec lesa;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Obdelovanje lesa;obdelovalec lesa;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Oblike govora;magister govora;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Oblikovalec kovin;oblikovalec kovin;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Oblikovalec kovin - orodjar;oblikovalec kovin - orodjar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Oblikovalec kovin, brusilec;brusilec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
