Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Novinarstvo;univerzitetni diplomirani novinar;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0321";Novinarstvo in medijske študije;Journalism and reporting;
Novinarstvo - dvopredmetni;univerzitetni diplomirani ... in novinar;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0321";Novinarstvo in medijske študije;Journalism and reporting;
Obdelava kovin in upravljanje strojev, A - vzdrževalec in upravljalec strojev;vzdrževalec in upravljalec strojev;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelava kovin in upravljanje strojev, B - obdelovalec kovin;obdelovalec kovin;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelava kovin in upravljanje strojev, C - spajalec in rezalec kovin;spajalec in rezalec kovin;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelava kovin v serijski proizvodnji (USO II);pomožni kljuèavnièar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelava ploèevine (USO II);oblikovalec ploèevine, pomožni klepar, pomožni industrijski klepar, stiskalnièar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelovalec kovin;obdelovalec kovin;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obdelovalec lesa;obdelovalec lesa;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Obdelovanje lesa;obdelovalec lesa;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Oblike govora;magister govora;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Oblikovalec kovin;oblikovalec kovin;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Oblikovalec kovin - orodjar;oblikovalec kovin - orodjar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Oblikovalec kovin, brusilec;brusilec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Oblikovalec kovin, frezalec;frezalec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Oblikovalec kovin, orodjar;orodjar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Oblikovalec kovin, strugar;strugar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Oblikovalec stekla;oblikovalec stekla;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Oblikovanje;univerzitetni diplomirani oblikovalec;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0213";Likovna umetnost;Fine arts;
Oblikovanje in tekstilni materiali;diplomirani inženir oblikovanja in tekstilnih materialov (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Oblikovanje in tekstilni materiali;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Oblikovanje in tekstilni materiali;magister inženir oblikovanja in tekstilnih materialov;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Oblikovanje materialov;inženir oblikovanja;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje tekstilij in oblaèil;diplomirani oblikovalec tekstilij in oblaèil (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje tekstilij in oblaèil;inženir oblikovanja tekstilij in oblaèil;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje tekstilij in oblaèil;magister akademski oblikovalec tekstilij in oblaèil;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje tekstilij in oblaèil;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje tekstilij in oblaèil;specialist za oblikovanje tekstilij in oblaèil;;18101;Specialistièno izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje tekstilij in oblaèil;univerzitetni diplomirani inženir oblikovanja tekstilij in oblaèil;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje vizualnih komunikacij;diplomirani oblikovalec vizualnih komunikacij (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0213";Likovna umetnost;Fine arts;
Oblikovanje vizualnih komunikacij;magister oblikovanja vizualnih komunikacij;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0213";Likovna umetnost;Fine arts;
Oblikovanje vizualnih komunikacij;magister umentnosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0213";Likovna umetnost;Fine arts;
Oblikovanje vizualnih komunikacij;specialist za oblikovanje;;18101;Specialistièno izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0213";Likovna umetnost;Fine arts;
Oblikovanje, A - grafièni oblikovalec;grafièni oblikovalec;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Oblikovanje, A - grafièno oblikovanje;grafièni oblikovalec;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Oblikovanje, B - industrijski oblikovalec;industrijski oblikovalec;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje, B - industrijsko oblikovanje;industrijski oblikovalec;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje, C - modni oblikovalec;modni oblikovalec;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje, C - modno oblikovanje;modni oblikovalec;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje, Grafièni oblikovalec;grafièni oblikovalec;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Oblikovanje, Industrijski oblikovalec;industrijski oblikovalec;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Oblikovanje, Modni oblikovalec;modni oblikovalec;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Obnavljalec avtomobilskih plašèev;obnavljalec avtomobilskih plašèev;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Obramboslovje;diplomirani obramboslovec (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0312";Politologija, odnosi posameznik-družba-država;Political sciences and civics;
Obramboslovje;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0312";Politologija, odnosi posameznik-družba-država;Political sciences and civics;
Obramboslovje;magister obramboslovja;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0312";Politologija, odnosi posameznik-družba-država;Political sciences and civics;
Obramboslovje;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0312";Politologija, odnosi posameznik-družba-država;Political sciences and civics;
Obramboslovje;specialist obramboslovja;;18101;Specialistièno izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0312";Politologija, odnosi posameznik-družba-država;Political sciences and civics;
Obramboslovje in varnostne študije;magister obramboslovja;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0312";Politologija, odnosi posameznik-družba-država;Political sciences and civics;
Obratni metalurški tehnik;obratni metalurški tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obratni strojni tehnik;obratni strojni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obratni strojni tehnik, A - tehnolog;tehnolog;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Obratni strojni tehnik, B - energetik;energetik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Obratovni elektrikar;obratovni elektrikar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Obutvena tehnologija, A - izdelovalec delov obutve;izdelovalec delov obutve;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Obutvena tehnologija, B - izdelovalec obutve;izdelovalec obutve;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Obutvena tehnologija, C - obutveni tehnik;obutveni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Obutveni pomoènik (USO II);obutveni pomoènik;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Obutveni tehnik;obutveni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Obutveni tehnolog, A - izdelovalec obutve I;izdelovalec obutve I;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Obutveni tehnolog, B - izdelovalec obutve II;izdelovalec obutve II;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Obutveni tehnolog, C - obutveni tehnik;obutveni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Ohranjanje narave in naravnih vrednot;magister ohranjanja narave in naravnih vrednot;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0522";Naravno okolje in divje živali;Natural environments and wildlife;
Okolje;diplomirani okoljski tehnolog (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0521";Okoljske znanosti;Environmental sciences;
Okolje;magister okoljskih ved;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0521";Okoljske znanosti;Environmental sciences;
Okolje;univerzitetni diplomirani ekolog;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0521";Okoljske znanosti;Environmental sciences;
Okoljevarstveni tehnik;okoljevarstveni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0712";Okoljevarstvena tehnologija;Environmental protection technology;
Okoljska analiza in management;magister okoljskih ved;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Okoljsko gradbeništvo;magister inženir okoljskega gradbeništva;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0732";Gradbeništvo;Building and civil engineering;
Okoljsko izobraževanje;specialist okoljskega izobraževanja;;17001;Specialistièno izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0521";Okoljske znanosti;Environmental sciences;
Operativno gradbeništvo;diplomirani inženir gradbeništva (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0732";Gradbeništvo;Building and civil engineering;
Operna šola;diplomirani operni pevec;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Opravljalec farmacevtskih naprav;opravljalec farmacevtskih naprav;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0916";Farmacija;Pharmacy;
Optik;optik;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0914";Medicinska diagnostièna in terapevtska tehnologija;Medical diagnostic and treatment technology;
Organizacija dela;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija dela;inženir organizacije dela;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija dela;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija dela;organizator dela/ organizator dela - informatik;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija dela;univerzitetni diplomirani organizator;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija in management;diplomirani organizator - menedžer;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija in management;specialist organizacije in managementa;;18101;Specialistièno izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija in management informacijskih sistemov;diplomirani organizator informatik (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija in management informacijskih sistemov;diplomirani organizator informatik (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija in management informacijskih sistemov;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija in management informacijskih sistemov;magister organizator informatik;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija in management kadrovskih in izobraževalnih sistemov;diplomirani organizator (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0413";Poslovanje in upravljanje, menedžment;Management and administration;
Organizacija in management kadrovskih in izobraževalnih sistemov;diplomirani organizator (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0413";Poslovanje in upravljanje, menedžment;Management and administration;
Organizacija in management kadrovskih in izobraževalnih sistemov;diplomirani organizator kadrovskih in izobraževalnih sistemov (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0413";Poslovanje in upravljanje, menedžment;Management and administration;
Organizacija in management kadrovskih in izobraževalnih sistemov;diplomirani organizator kadrovskih in izobraževalnih sistemov (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0413";Poslovanje in upravljanje, menedžment;Management and administration;
Organizacija in management kadrovskih in izobraževalnih sistemov;diplomirani organizator poslovnih sistemov (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0413";Poslovanje in upravljanje, menedžment;Management and administration;
Organizacija in management kadrovskih in izobraževalnih sistemov;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0413";Poslovanje in upravljanje, menedžment;Management and administration;
Organizacija in management kadrovskih in izobraževalnih sistemov;magister kadrovskih in izobraževalnih sistemov;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0413";Poslovanje in upravljanje, menedžment;Management and administration;
Organizacija in management kadrovskih in izobraževalnih sistemov;magister organizator;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0413";Poslovanje in upravljanje, menedžment;Management and administration;
Organizacija in management poslovnih in delovnih sistemov;diplomirani organizator (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Organizacija in management poslovnih in delovnih sistemov;diplomirani organizator (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
